101010030011021001101121951010121111  93292100000
10101003001102100110252075101011049
10101003001102100110351045101
20101003001102100111123021000522150003
301010030011021001120001220Lisa                1
101010030011087002101114011010320911  919521
101010030011087002102224111010320611  91952112121
10101003001108700210331205101031081       92
10101003001108700210432155101031061       9200000
10101003001108700210531135101031051       92
10101003001108700210631115101011031       92
10101003001108700210732095101011039
10101003001108700210832065101012009
10101003001108700210931045101
10101003001108700211031035101
10101003001108700211131005101
10101003001108700211242702201012041       9205020
20101003001108700216              0012
301010030011087002120001215Bart                1
301010020012112003120001225Lisa                4
101010010011056004101113711010121311  914521
10101001001105600410222301222012121       9201011
10101001001105600410332005101
20101001001105600412121012000534240003
301010010011056004120001217Bart                1
101010020012074005101112711010120611  610131
10101002001207400510222241101012002       9201010
10101002001207400510331085101011029
20101002001207400511135011000665250003
301010020012074005120001219Lisa                1
101010030011007006101124721010121311  41652104040
10101003001100700610231225101011131       92
10101003001100700610331205101011131       92
10101003001100700610432075122041039
10101003001100700610562165101021111       9200000
20101003001100700612123032000556140005
301010030011007006120001219Lisa                1
301010030011054007120001229Bart                3
10101001001102400810112804201012111       9213080
101010010011024008102612651010120611  525241
10101001001102400810362215101012041       9200000
10101001001102400810461145101012041       92
20101001001102400811123061000421140004
301010010011024008120001221Bart                1
101010010012048009101123621010121111  23802105050
10101001001204800910232145101011101       9200000
10101001001204800910331125101011091       92
10101001001204800910432085101011059
10101001001204800910532085101011059
10101001001204800910632045101
20101001001204800911121023000555250006
301010010012048009120001229Lisa                1
10101002001109301010112594201012111       9210090
10101002001109301010232215101011141       9200000
10101002001109301010351045201
20101002001109301011123021000421140003
301010020011093010120001218Maggie              1
101010010011124011101123151010121511  23802101010
10101001001112401110231025101
101010010011124011103513751010121411  931421
10101001001112401110462135101012002       9200000
20101001001112401112521023000556250004
301010010011124011120001220Lisa                1
101010030011054012101113311710121611  348021
101010030011054012102223612210121311  23802106060
10101003001105401210332195121011131       9200000
10101003001105401210431185121011101       92
10101003001105401210532115121011061       9299999
10101003001105401210631095121011059
10101003001105401210732055121019999
10101003001105401210832025121
10101003001105401210951185171061121       92
20101003001105401212621022000522140009
301010030011054012120001224Bart                1
101010020011074013101115312210221211  830021
101010020011074013102223412010421111  91002104042
10101002001107401310331045101
10101002001107401310431045101
10101002001107401310532005101
10101002001107401310632504101012002       9204040
20101002001107401311121012000522240006
301010020011074013120001219Maggie              1
101010030011034014101114811210120411  930021
10101003001103401410222451201012061       9215110
10101003001103401410331155101011041       92
10101003001103401410431145101012041       92
10101003001103401410531114101012031       92
10101003001103401410631105101011041       92
10101003001103401410732095101011039
10101003001103401410831075101011029
10101003001103401410952095101012009
20101003001103401411135012000662240009
301010030011034014120001215Bart                1
301010010011058015120001223Lisa                3
301010010011061016120001218Lisa                4
301010020011128017120001225Lisa                3
101010030011097018101127142010120111  61013100000
10101003001109701810232331101012061       9208080
101010030011097018103521551010120611  9900 100000
10101003001109701810451145101011111       92
101010030011097018105521351010120611  9900 100000
10101003001109701810652115101011061       9299999
10101003001109701810752055101019999
10101003001109701810852035101
20101003001109701811123021000555250008
301010030011097018120001221Maggie              1
101010020011140019101114111010120411  610131
101010020011140019102223912010120311  74203107070
101010020011140019103322051010120411  74203101010
10101002001114001910451025101
101010020011140019105311951010120311  610131
101010020011140019106321351010120221  74203100000
101010020011140019107321151010120221  74203199999
10101002001114001910831035101
10101002001114001910931035101
10101002001114001911031015101
20101002001114001911134011000665250010
301010020011140019120001218Lisa                1
301010030012055020120001225Bart                2
101010020012131021101124842010120021  61013101000
20101002001213102111135011000665250001
301010020012131021120001227Maggie              1
101010030012013022101113012010120611  610131
101010030012013022102223211010120411  61013100000
20101003001201302211135011000666250002
301010030012013022120001221Bart                1
20101003001202102311139  4        0000
301010030012021023120001228Maggie              1
101010030012122024101113411010120411  610131
101010030012122024102223311010120411  61013107061
101010030012122024103321551010120611  92014100000
10101003001212202410431065101012009
10101003001212202410531055101019999
10101003001212202410631035101
10101003001212202410732005101
20101003001212202411135021000666250007
301010030012122024120001226Lisa                1
101010020012032025101112812010120511  610131
101010020012032025102222712010120021  74203102020
10101002001203202510331085101012009
10101002001203202510432045101
20101002001203202511135011000665250004
301010020012032025120001218Maggie              1
301010010012054026120001227Lisa                2
301010010011086027120001219Maggie              4
101010030012136028101113511010120411  610131
101010030012136028102223711010120611  61013109071
10101003001213602810332135101012041       9200000
10101003001213602810432115101011011       9299999
10101003001213602810532085101011029
10101003001213602810632075101011029
10101003001213602810732035101
10101003001213602810831005101
20101003001213602811135041000665250008
301010030012136028120001222Lisa                1
101010010011095029101115511010120021  610131
101010010011095029102225312010120411  61013107040
101010010011095029103311851010120511  610141
10101001001109502910431105101011051       92
20101001001109502911135061000666250004
301010010011095029120001219Lisa                1
101010010012054030101113011010121011  610131
